Iles;Boutiques/Borne;Adresse;type;latitude;longitude
Martinique;"Carrefour Market Perrinon


";Centre commercial La cour Perrinon, Fort-de-France 97200 Martinique;Borne Free Caraïbe;14.6057637;-61.0729192
Martinique;BUT Californie;ZI Acajou Californie 97232 Le Lamentin;Borne Free Caraïbe;14.6162342;-61.0283555
Martinique;Carrefour Market Trinité;Zone Du Bac 97220 La Trinité;Borne Free Caraïbe;14.7289455;-60.9514509
Martinique;Carrefour Market Le Francois;Cz Distriplus 97240 Le François;Borne Free Caraïbe;14.6164604;-60.9106273
Martinique;Carrefour Market Rivière salée;Quartier La Chem. la Laugier 97215 Rivière-Salée;Borne Free Caraïbe;14.6166172;-60.9904533
Martinique;Carrefour Market Le Marin;Montgerald 97290 Le Marin;Borne Free Caraïbe;14.4727494;-60.8798399
Guadeloupe;Boutique Free Destreland;Bd Destreland 97122 Baie-Mahault;Boutique Free Caraïbe;16.25197;-61.5924458
Guadeloupe;Darty Dothemare;FAMILY PLAZA ZAC DE DOTHEMARE 97139 Les Abymes;Borne Free Caraïbe;16.2672;-61.5189387
Guadeloupe;Fnac Petit Bourg Colin;Zone De Collin 97170 Petit Bourg;Borne Free Caraïbe;16.2038005;-61.6819665
Guadeloupe;Fnac Milenis;RN5, ZAC de, Cité Dothemare 97139 Les Abymes;Borne Free Caraïbe;16.2656686;-61.5147178
Guadeloupe;Carrefour Market Bouillante;Centre Commercial Pigeon Losteau Bouillante, 97125;Borne Free Caraïbe;16.1612667;-61.7772503
Guadeloupe;BUT Gourbeyre;Zone de Valkaners, N1 Gourbeyre 97113 Gourbeyre;Borne Free Caraïbe;15.990497;-61.6917327
Guadeloupe;Carrefour Market Le Moule;Centre co Baie-Side N5 97160 Le Moule;Borne Free Caraïbe;16.3339214;-61.3679828
Guyane;But Matoury;Centre Commercial Family Plaza 97351 Matoury;Borne Free Caraïbe;4.8882165;-52.3342239
Guyane;4.8876299;Centre commercial Family Plaza Matoury 97351 Matoury;Borne Free Caraïbe;4.8876299;-52.3348078
Guyane;But Kourou;20 Rue Zenobe Gramme, Kourou 97310;Borne Free Caraïbe;5.1568349;-52.6709375
Guyane;Supéco Cayenne;Rond-Point Le Blond, 97300, Cayenne Cayenne;Borne Free Caraïbe;4.9233375;-52.3296775
Guyane;But Saint-Laurent-du-Maroni;336 avenue Christophe Colomb, Saint-Laurent-du-Maroni 97320;Borne Free Caraïbe;5.4916702;-54.0347327
Guyane;Carrefour Market Remire-Montjoly;N3 Remire-Montjoly, 97351;Borne Free Caraïbe;4.8885178;-52.2867059
